S.0,Timestamp,What's your Age,Gender,Which area/locality do you live in,Status of your accommodation in your Current City,Occupation,For whom do you order,"How often do you use quick commerce services (Blinkit, Instamart, Zepto)?  ",Which platforms do you primarily use?,At what time of day do you usually place orders?  ,How much is your average spend on an order?,"Would you prefer if you have a live product feed (a short video of the product) for fruits, vegetables and other perishables on quick commerce platform? ",What factors influence your choice of a quick commerce platform?,What type of products do you typically order through quick commerce,How often do you experience late deliveries?,Have you ever received incorrect or incomplete orders?  ,"Have you ever experienced unusual delivery delays (e.g., hours beyond the expected time)?  ",How satisfied are you with the delivery time?  ,"Did the delivery personnel follow the correct instructions (e.g., contactless delivery, calling before arrival)?  ",Have you ever reported a complaint regarding quick commerce services?  ,Was your complaint resolved on time?  ,Have you ever faced issues with refunds or replacements?,"Have you 0ticed suspicious behavior from delivery personnel (e.g., tampered packaging)?  ",Have you experienced frequent order cancellations or reassigned deliveries?  ,Do you feel the pricing of items on these platforms is inconsistent?  ,Rate your overall experience with quick commerce services  ,Do you have suggestions to improve quick commerce services?
6,1/18/2025 17:28:58,20,1,Ghaziabad,Homeowner,Student,,Weekly,"Blinkit, Flipkart Minutes",Morning,1-250,0,"delivery speed, price, product variety, discounts/offers","snacks & beverages, packaged food items, household essentials",Never,0,0,5,1,0,1,0,0,0,0,5,
8,1/18/2025 18:35:16,21,1,Hudson Lane,Paying Guest,Student,,Monthly,"Zepto, Blinkit",Evening,250-500,maybe,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,5,1,0,1,0,0,0,0,5,
11,1/18/2025 18:57:09,20,1,New Delhi ,Homeowner,Student,,Rarely,"Blinkit, Flipkart Minutes",Afternoon,250-500,maybe,"price, product variety, discounts/offers, user interface","dairy products, household essentials",Rarely,0,0,4,1,0,1,0,0,0,0,3,0 idea I don't use it that frequently ðŸ˜…
14,1/18/2025 19:05:07,20,1,Uttam Nagar ,Homeowner,Student,,Monthly,"Zepto, Blinkit",Afternoon,250-500,1,discounts/offers,"fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,5,0,0,1,0,0,0,0,4,
15,1/18/2025 19:07:19,19,1,Urban,Homeowner,Student,,Rarely,"Blinkit, Instamart",Afternoon,1-250,1,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,4,0,0,0,0,0,0,0,3,
19,1/18/2025 19:12:43,20,1,Ghaziabad ,Homeowner,Student,,Weekly,"Blinkit, Instamart, Amazon Fresh",Afternoon,250-500,0,"price, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,5,1,1,1,0,0,0,0,5,
23,1/18/2025 19:20:23,20,1,New Delhi,Homeowner,Student,,Daily,"Blinkit, BigBasket",Evening,500-800,1,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,5,1,0,,0,0,0,0,5,
30,1/18/2025 20:14:35,21,1,Vasant Vihar,Homeowner,Student,,Weekly,"Zepto, Blinkit",Morning,250-500,maybe,"delivery speed, price, product variety, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,4,1,1,1,0,0,0,0,4,
31,1/18/2025 20:20:11,22,1,New Delhi ,Homeowner,Student,,Weekly,"Blinkit, Instamart",Afternoon,500-800,maybe,discounts/offers,"snacks & beverages, packaged food items, household essentials",Often,0,0,5,1,0,1,0,0,0,0,5,
32,1/18/2025 20:20:15,19,1,Delhi,Hostel,Student,,Weekly,"Blinkit, BigBasket",Late Night,1-250,0,"price, discounts/offers","snacks & beverages, packaged food items, household essentials",Never,0,0,5,1,0,,0,0,0,0,4,Price should be according to occupation ðŸ˜…
33,1/18/2025 20:21:40,20,1,Urban,Homeowner,Student,,Rarely,"Blinkit, Flipkart Minutes",Evening,500-800,0,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Never,0,1,4,1,0,1,1,0,0,0,4,
35,1/18/2025 20:48:09,31,1,Sonipat,Homeowner,Employed,,Daily,"Zepto, Blinkit",Afternoon,500-800,maybe,discounts/offers,"snacks & beverages, packaged food items, household essentials, medincine",Often,0,0,5,1,0,1,0,0,1,0,5,0
40,1/18/2025 21:58:33,20,1,Jahangir Puri,Homeowner,Student,,Weekly,Zepto,Afternoon,250-500,maybe,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,1,0,,0,0,0,0,4,
46,1/19/2025 10:46:22,21,1,Rohini Delhi,Homeowner,Student,,Rarely,"Blinkit, Flipkart Minutes",Afternoon,250-500,1,"delivery speed, price, product variety, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,4,1,1,1,0,0,0,0,4,"Better comparison of prices with better monthly or quarterly offers which are actually meaningful for regular member users + if they work on proving freshness of food delivered will be great , like supplying milk with properly mentioned expiry date rather than picking up any milk packet whose date is erased will ensure safety and trust of user on these platforms."
47,1/19/2025 13:14:18,19,1,DELHI,Homeowner,Student,,Daily,Zepto,Morning,250-500,maybe,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,4,0,1,1,0,0,0,0,4,
52,1/18/2025 17:54:06,21,0,Kharagpur ,Hostel,Student,,Rarely,"Blinkit, BigBasket",Evening,1-250,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,3,1,0,0,0,0,0,0,3,
56,1/18/2025 21:09:59,21,0,Vkrv rao hostel ,Hostel,Student,,Monthly,"Blinkit, Instamart",Evening,250-500,1,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,4,1,1,1,0,0,0,0,5,
57,1/18/2025 21:51:51,20,0,Delhi,Homeowner,Student,,Weekly,"Zepto, Blinkit",Late Night,1-250,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials",Never,0,0,5,1,0,,0,0,0,0,5,
58,1/18/2025 21:55:44,18,0,Jyoti Nagar,Homeowner,Student,,Weekly,"Blinkit, Instamart",Evening,1-250,maybe,"discounts/offers, price, delivery speed, product variety","snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,1,0,,1,0,0,0,4,
65,1/19/2025 22:50:20,21,1,Loni Ghaziabad ,Homeowner,Student,Yourself,Rarely,"Zepto, Blinkit",Evening,1-250,0,discounts/offers,"snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,4,1,0,0,0,0,0,0,4,0 suggestions
70,1/24/2025 20:42:45,18,1,vishvidhyalaya,Paying Guest,Student,Yourself,Rarely,Zepto,Evening,1-250,1,"delivery speed, price, discounts/offers, user interface","fresh produce(fruits&veges), dairy products, snacks & beverages",Never,0,0,5,1,0,,0,0,0,0,5,
71,1/24/2025 20:47:03,22,1,DELHI,Renting a flat,Student,Both,Rarely,"Blinkit, BigBasket",Late Night,1-250,0,"delivery speed, price, product variety, discounts/offers","dairy products, household essentials",Rarely,0,0,4,1,0,1,0,0,0,0,5,0
73,1/25/2025 15:35:50,20,1,Uttam Nagar ,Renting a flat,Student,Home (on behalf of parents),Monthly,"Blinkit, Instamart",Evening,500-800,0,"price, discounts/offers","snacks & beverages, packaged food items, household essentials",Never,0,0,5,1,0,,0,0,0,0,4,
74,1/25/2025 15:38:42,20,1,Uttam nagar ,Homeowner,Student,Both,Rarely,"Blinkit, Instamart, Amazon Fresh",Morning,1-250,maybe,"discounts/offers, price, delivery speed, product variety","snacks & beverages, packaged food items, household essentials, medincine",Never,0,0,5,1,0,,0,0,0,0,3,
75,1/25/2025 15:42:54,20,1,Dwarka ,Homeowner,Student,Both,Weekly,"Blinkit, Instamart",Evening,800-1500,maybe,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,1,0,,0,0,0,0,4,0
78,1/25/2025 15:54:48,20,1,Delhi,Renting a flat,Student,Yourself,Rarely,"Zepto, Blinkit",Late Night,1-250,maybe,"discounts/offers, price, delivery speed, product variety","snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,1,0,,1,0,0,0,3,
79,1/25/2025 19:02:28,20,1,ghaziabad,Homeowner,Student,Both,Weekly,Zepto,Afternoon,1-250,maybe,discounts/offers,"snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,4,1,0,,0,0,0,0,4,
85,2/11/2025 15:16:10,21,0,Delhi,Homeowner,Student,Both,Monthly,Instamart,Evening,800-1500,0,"delivery speed, price, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,0,1,5,0,1,0,0,0,0,0,4,
88,2/16/2025 19:35:28,20,0,Amritsar,Hostel,Student,Yourself,Rarely,"Blinkit, Instamart",Late Night,1-250,maybe,price,"snacks & beverages, packaged food items",Rarely,0,1,5,1,0,,0,0,0,0,5,
91,2/16/2025 19:51:53,30,0,Pune,Paying Guest,Employed,Both,Monthly,"Zepto, Blinkit, Instamart",Morning,800-1500,0,"delivery speed, price, product variety, discounts/offers","snacks & beverages, personal care items, packaged food items, household essentials",Never,0,0,5,1,0,,0,0,0,0,4,
95,2/20/2025 17:05:36,27,0,Bangalore ,Renting a flat,Employed,Both,Monthly,"Instamart, BigBasket",Evening,800-1500,maybe,"delivery speed, price, product variety, discounts/offers, user interface, customer service","snacks & beverages, packaged food items, household essentials",Rarely,0,0,5,1,0,,0,0,0,0,5,
97,2/20/2025 17:11:01,30,0,Ghaziabad ,Homeowner,Employed,Yourself,Rarely,Blinkit,Afternoon,250-500,1,"product variety, user interface, return policy","fresh produce(fruits&veges), dairy products, snacks & beverages, personal care items, packaged food items, household essentials",Never,0,0,5,1,0,,0,0,0,0,2,
99,2/20/2025 17:24:52,20,0,Delhi,Homeowner,Student,Home (on behalf of parents),Weekly,"Blinkit, Instamart",Evening,800-1500,maybe,"delivery speed, price, product variety, discounts/offers","snacks & beverages, packaged food items, household essentials",Never,0,0,4,1,0,,0,0,0,0,4,
100,2/20/2025 17:27:07,23,0,Amritsar ,Hostel,Student,Yourself,Monthly,"Blinkit, Instamart, Amazon Fresh",Evening,500-800,maybe,"delivery speed, price, discounts/offers, user interface","snacks & beverages, personal care items, packaged food items, household essentials",Rarely,0,0,4,1,0,,0,0,0,0,4,
101,2/16/2025 23:00:01,26,0,Amritsar,Hostel,Student,Yourself,Weekly,Blinkit,Night,1-250,0,"discounts/offers, price, delivery speed, product variety","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,5,1,0,,0,0,0,0,4,
16,1/18/2025 19:07:59,20,1,Gurugram,Homeowner,Student,,Daily,"Blinkit, Instamart",Evening,250-500,maybe,"delivery speed, price, product variety, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,1,0,5,1,1,1,0,0,0,0,5,
20,1/18/2025 19:13:13,21,1,Delhi,Homeowner,Student,,Weekly,"Blinkit, Instamart",Afternoon,800-1500,1,"discounts/offers, price, delivery speed, product variety","dairy products, household essentials",Rarely,1,0,4,1,1,1,1,0,0,0,4,
27,1/18/2025 19:40:03,20,1,Delhi,Homeowner,Student,,Weekly,Instamart,Morning,Its variable ,1,discounts/offers,"fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,1,0,4,1,0,,0,0,0,0,5,
28,1/18/2025 19:58:22,19,1,Ashram,Homeowner,Student,,Weekly,Blinkit,Evening,250-500,0,"price, discounts/offers","dairy products, household essentials",Rarely,1,0,4,1,1,1,0,0,0,0,4,
44,1/18/2025 23:56:54,20,1,Delhi,Homeowner,Student,,Monthly,"Zepto, Blinkit",Evening,250-500,1,"delivery speed, price, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials, medincine",Rarely,1,1,4,1,1,1,0,0,0,0,4,
82,1/25/2025 22:31:54,22,1,North - East Delhi ,Homeowner,Student,Home (on behalf of parents),Rarely,"Blinkit, Instamart",Evening,250-500,0,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Never,1,0,4,1,0,1,0,0,0,0,4,
1,1/18/2025 16:53:23,22,1,"Rohini, Delhi",Homeowner,Employed,,Rarely,"Blinkit, Instamart, Amazon Fresh",Afternoon,250-500,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Often,0,0,4,0,1,0,1,0,0,1,3,
3,1/18/2025 17:11:55,20,1,"Vasundhara,Ghaziabad",Renting a flat,Student,,Daily,"Blinkit, Instamart",Afternoon,500-800,maybe,discounts/offers,"snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,5,0,1,1,0,0,0,1,4,A single button functionality to empty our cart at once 
4,1/18/2025 17:12:43,20,1,Dwarka mor,Homeowner,Student,,Monthly,"Blinkit, Instamart",Afternoon,>3000,maybe,"delivery speed, price, product variety, discounts/offers","dairy products, household essentials",Rarely,0,0,2,1,0,0,0,0,0,1,5,If there could be pricing adequately like fast delivery dont means more money 
5,1/18/2025 17:17:40,20,1,New Delhi bawana ,Homeowner,Student,,Rarely,"Blinkit, BigBasket",Afternoon,1-250,1,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Never,0,0,4,1,0,0,0,0,0,1,4,
9,1/18/2025 18:53:32,19,1,"Delhi,  Kashmere Gate",Hostel,Student,,Weekly,"Blinkit, Instamart",Afternoon,1-250,1,discounts/offers,"fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,4,1,1,0,1,0,0,1,4,
10,1/18/2025 18:55:06,20,1,North Delhi ,Renting a flat,Student,,Weekly,"Blinkit, Instamart",Evening,250-500,1,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,4,1,1,0,1,0,0,1,4,
