S.0,Timestamp,What's your Age,Gender,Which area/locality do you live in,Status of your accommodation in your Current City,Occupation,For whom do you order,"How often do you use quick commerce services (Blinkit, Instamart, Zepto)?  ",Which platforms do you primarily use?,At what time of day do you usually place orders?  ,How much is your average spend on an order?,"Would you prefer if you have a live product feed (a short video of the product) for fruits, vegetables and other perishables on quick commerce platform? ",What factors influence your choice of a quick commerce platform?,What type of products do you typically order through quick commerce,How often do you experience late deliveries?,Have you ever received incorrect or incomplete orders?  ,"Have you ever experienced unusual delivery delays (e.g., hours beyond the expected time)?  ",How satisfied are you with the delivery time?  ,"Did the delivery personnel follow the correct instructions (e.g., contactless delivery, calling before arrival)?  ",Have you ever reported a complaint regarding quick commerce services?  ,Was your complaint resolved on time?  ,Have you ever faced issues with refunds or replacements?,"Have you 0ticed suspicious behavior from delivery personnel (e.g., tampered packaging)?  ",Have you experienced frequent order cancellations or reassigned deliveries?  ,Do you feel the pricing of items on these platforms is inconsistent?  ,Rate your overall experience with quick commerce services  ,Do you have suggestions to improve quick commerce services?
18,1/18/2025 19:09:17,20,1,Delhi,Hostel,Student,,Monthly,"Zepto, Blinkit",Evening,250-500,1,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,0,1,4,1,1,1,0,1,1,1,4,
22,1/18/2025 19:19:01,20,1,Dwarka,Homeowner,Student,,Rarely,"Blinkit, Instamart",Evening,800-1500,0,discounts/offers,"snacks & beverages, packaged food items, household essentials",Rarely,0,1,4,1,1,1,1,0,1,1,2,
24,1/18/2025 19:25:37,21,1,Hari nagar ,Homeowner,Student,,Monthly,"Zepto, Blinkit",Evening,250-500,0,"price, product variety, discounts/offers, user interface","dairy products, household essentials",Rarely,0,0,4,1,0,,0,0,0,1,3,
25,1/18/2025 19:34:48,21,1,Delhi,Homeowner,Student,,Weekly,"Blinkit, Flipkart Minutes",Late Night,500-800,maybe,"delivery speed, price, product variety, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,5,1,1,1,1,0,0,1,5,
26,1/18/2025 19:38:37,20,1,New delhi ,Homeowner,Student,,Monthly,"Blinkit, Instamart, Amazon Fresh",Evening,1-250,maybe,"delivery speed, price, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,0,0,,1,0,1,1,4,
34,1/18/2025 20:23:40,20,1,South Delhi ,Homeowner,Student,,Rarely,"Blinkit, Instamart, Amazon Fresh",Evening,250-500,1,"delivery speed, price, product variety, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,5,1,0,,0,1,0,1,4,
38,1/18/2025 21:20:19,21,1,Delhi,Hostel,Student,,Monthly,"Blinkit, Instamart",Evening,250-500,1,"discounts/offers, price, delivery speed, product variety","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,4,1,0,1,0,0,0,1,4,Review section for peoducts
39,1/18/2025 21:41:32,20,1,Ghaziabad,Homeowner,Student,,Weekly,Blinkit,Afternoon,250-500,0,discounts/offers,"snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,1,4,1,0,1,0,0,0,1,4,
45,1/19/2025 1:47:00,19,1,delhi,Homeowner,Student,,Monthly,"Blinkit, BigBasket",Afternoon,1-250,0,discounts/offers,"dairy products, household essentials",Never,0,0,5,1,0,1,0,0,1,1,4,
48,1/19/2025 15:30:57,53,1,Ghaziabad,Homeowner,Employed,,Rarely,"Blinkit, Instamart, Amazon Fresh",Evening,1-250,1,"price, product variety, discounts/offers, user interface","fresh produce(fruits&veges), dairy products, snacks & beverages",Never,0,0,5,1,0,,0,0,0,1,5,
49,1/19/2025 16:01:16,22,1,delhi,Renting a flat,Student,,Monthly,"Blinkit, Instamart",Morning,500-800,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Often,0,0,4,1,0,,0,0,1,1,3,
51,1/19/2025 18:14:34,21,1,West Delhi ,Homeowner,Student,,Rarely,"Blinkit, Instamart",Evening,250-500,maybe,"delivery speed, price, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,1,4,1,1,1,0,0,0,1,4,"As of 0w, I don't have any suggestions.. "
53,1/18/2025 19:24:20,27,0,"Bandra, Mumbai",Paying Guest,Freelancing,,Rarely,Zepto,Evening,250-500,1,discounts/offers,"fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,0,4,1,0,,0,0,0,1,4,
54,1/18/2025 20:40:29,27,0,Delhi,Hostel,Student,,Rarely,"Zepto, Blinkit",Evening,250-500,1,"delivery speed, price, product variety, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Always,0,1,3,0,1,0,1,1,1,1,4,
55,1/18/2025 20:59:02,26,0,Bangalore,Renting a flat,Employed,,Daily,"Blinkit, Instamart, Amazon Fresh",Evening,250-500,0,"price, discounts/offers","dairy products, household essentials",Never,0,0,5,1,0,1,0,0,0,1,4,"Increase the delivery time, Iâ€™m fine getting the order in 30 mins instead of 10. I have observed that delivery partners are in hurry which is 0t safe - could lead to road accidents.

Remove platform fee/ handing fee - this is a scam.

Start delivering medicines - Apollo app does that but it is 0t as efficient as these platforms.

"
59,1/18/2025 22:00:26,18,0,Ashok nagar ,Homeowner,Student,,Monthly,"Blinkit, BigBasket",Late Night,250-500,0,"delivery speed, price, product variety, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,1,3,1,0,0,0,0,0,1,3,People should transfer to e commerce 
60,1/18/2025 22:01:22,17,0,Delhi ,Renting a flat,Student,,Weekly,Zepto,Afternoon,800-1500,1,discounts/offers,"fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,0,1,1,1,1,1,0,1,1,1,5,
62,1/18/2025 23:01:35,17,0,Shahdara ,Homeowner,Student,,Daily,"Blinkit, Instamart",Afternoon,1-250,maybe,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,5,1,1,1,1,0,1,1,4,
63,1/19/2025 7:22:31,17,0,Ghaziabad,Homeowner,Student,,Rarely,"Blinkit, Flipkart Minutes",Evening,250-500,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials",Often,0,1,4,0,0,,0,0,0,1,4,
64,1/18/2025 21:09:37,18,0,Ghaziabad ,Renting a flat,Student,,Rarely,"Blinkit, Instamart, Amazon Fresh",Evening,1-250,0,"delivery speed, price, product variety, discounts/offers","snacks & beverages, packaged food items, household essentials",Rarely,0,0,3,0,0,,1,1,0,1,3,
66,1/20/2025 18:30:59,21,1,Pratap vihar Ghaziabad ,Hostel,Student,Both,Weekly,"Blinkit, Instamart",Evening,250-500,0,"discounts/offers, price, delivery speed, product variety","dairy products, household essentials",Rarely,0,0,4,1,1,1,0,0,0,1,4,
68,1/22/2025 7:57:51,21,1,Bengaluru,Hostel,Student,Yourself,Weekly,"Blinkit, BigBasket",Evening,1-250,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,1,1,0,1,0,0,1,4,
69,1/22/2025 19:44:36,27,0,Greater Noida,Homeowner,Freelancing,Both,Monthly,Blinkit,Evening,250-500,0,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Never,0,0,5,1,0,0,0,0,0,1,5,After overtime delivery order will be free
72,1/24/2025 21:04:36,19,1,"Dwarka, New Delhi",Homeowner,Student,Both,Rarely,"Zepto, Blinkit",Afternoon,1-250,maybe,discounts/offers,"snacks & beverages, packaged food items, household essentials, medincine",Rarely,0,0,5,1,0,,0,0,0,1,3,Probably enhanced reviews system would be great.
76,1/25/2025 15:43:31,20,1,Kashmiri gate,Hostel,Student,Yourself,Daily,"Blinkit, Flipkart Minutes",Evening,250-500,0,"price, discounts/offers","dairy products, household essentials",Often,0,1,1,1,0,0,0,0,0,1,4,Keep prices convenient and try to deliver on time. If can't then admit it. Don't share false time info. 
81,1/25/2025 19:34:19,20,1,Rohini sector 17,Homeowner,Student,Yourself,Rarely,"Zepto, Blinkit",Afternoon,1-250,0,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,1,0,0,0,0,0,1,4,"Mention exact atmost time taken to deliver., and try to put discounts on purchasing more than 1 items "
83,1/26/2025 10:59:42,19,1,Rohini,Homeowner,Student,Both,Rarely,"Blinkit, Instamart",Morning,250-500,maybe,"delivery speed, price, discounts/offers, user interface","dairy products, household essentials",Never,0,0,5,1,0,,0,0,1,1,4,
84,1/29/2025 20:02:58,19,1,North west delhi,Homeowner,Student,Both,Daily,"Blinkit, Flipkart Minutes",Evening,1-250,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials",Rarely,0,0,5,1,1,1,0,0,0,1,5,
86,2/11/2025 15:53:25,21,1,Ghaziabad,Homeowner,Student,Home (on behalf of parents),Weekly,"Zepto, Blinkit",Morning,250-500,1,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Never,0,0,5,1,0,,0,0,0,1,5,
87,2/11/2025 17:32:42,55,0,Ghaziabad,Homeowner,Employed,Yourself,Rarely,Blinkit,Morning,1-250,maybe,"price, discounts/offers","dairy products, household essentials",Rarely,0,0,5,1,0,,0,0,0,1,5,
90,2/16/2025 19:47:33,21,0,Ahmedabad,Renting a flat,Employed,Yourself,Weekly,"Blinkit, Instamart",Late Night,800-1500,1,discounts/offers,"fresh produce(fruits&veges), dairy products, snacks & beverages, packaged food items, household essentials",Rarely,0,0,4,1,0,,0,0,0,1,2,
92,2/16/2025 19:57:16,31,0,Bangalore,Renting a flat,Employed,Both,Daily,"Blinkit, Instamart, BigBasket",Late Night,2000-5000,1,"delivery speed, price, product variety","fresh produce(fruits&veges), dairy products, snacks & beverages, packaged food items",Rarely,0,0,4,1,0,,0,0,0,1,4,
96,2/20/2025 17:08:02,21,0,Hyderabad ,Renting a flat,Employed,Yourself,Weekly,Instamart,Evening,800-1500,maybe,"delivery speed, price, product variety, discounts/offers","dairy products, snacks & beverages, personal care items, packaged food items, household essentials, medincine",Never,0,0,5,1,0,,0,0,0,1,5,
98,2/20/2025 17:13:03,29,0,Noida,Renting a flat,Employed,Home (on behalf of parents),Weekly,"Blinkit, BigBasket",Evening,500-800,maybe,"price, product variety, discounts/offers, customer service","snacks & beverages, packaged food items, household essentials, medincine",Never,0,0,4,1,0,,0,0,0,1,4,
2,1/18/2025 16:53:26,20,1,Kashmere Gate,Hostel,Student,,Rarely,"Zepto, Blinkit",Afternoon,1-250,1,"price, product variety, discounts/offers, user interface","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,1,0,4,1,1,1,0,0,0,1,4,
7,1/18/2025 17:55:50,20,1,South delhi,Homeowner,Student,,Weekly,"Blinkit, Instamart, Amazon Fresh",Evening,1-250,0,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials, medincine",Rarely,1,0,5,1,0,0,0,0,1,1,3,Collaboration with local vendors for Fresh supplies.
12,1/18/2025 19:01:49,20,1,Gurgaon ,Renting a flat,Student,,Weekly,"Blinkit, BigBasket",Evening,500-800,0,"price, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,1,1,4,1,0,,1,1,1,1,3,
13,1/18/2025 19:04:00,20,1,IP extension ,Renting a flat,Student,,Weekly,"Blinkit, Instamart, Amazon Fresh",Evening,1-250,0,"delivery speed, price, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,1,1,4,1,1,1,1,0,0,1,4,
17,1/18/2025 19:08:34,20,1,East Delhi,Renting a flat,Student,,Daily,Blinkit,Evening,250-500,maybe,discounts/offers,"dairy products, household essentials",Rarely,1,0,5,1,1,1,0,0,0,1,4,
21,1/18/2025 19:15:22,21,1,Delhi ,Hostel,Student,,Weekly,"Blinkit, Instamart",Late Night,250-500,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials",Rarely,1,0,4,1,1,1,0,0,1,1,4,
29,1/18/2025 20:05:53,21,1,Kashmere gate ,Hostel,Student,,Monthly,"Blinkit, Instamart",Evening,250-500,maybe,"price, product variety, discounts/offers, user interface","snacks & beverages, packaged food items, household essentials",Rarely,1,0,4,1,0,,1,0,0,1,3,
36,1/18/2025 20:57:20,21,1,"Patiala , Punjab",Hostel,Student,,Daily,"Blinkit, Instamart",Late Night,1-250,1,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Often,1,1,4,1,0,0,1,0,1,1,4,
37,1/18/2025 21:13:43,20,1,"Kashmere Gate, Delhi",Hostel,Student,,Rarely,"Blinkit, BigBasket",Evening,1-250,maybe,"discounts/offers, price, delivery speed, product variety","snacks & beverages, packaged food items, household essentials",Rarely,1,0,4,1,1,1,0,0,0,1,4,
41,1/18/2025 22:10:21,21,1,Delhi,Homeowner,Student,,Weekly,"Blinkit, Instamart, Amazon Fresh",Evening,500-800,1,"delivery speed, price, product variety, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,1,0,4,1,1,0,1,1,1,1,3,
42,1/18/2025 23:02:26,20,1,rohini,Homeowner,Student,,Monthly,"Blinkit, Instamart",Late Night,1-250,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,1,0,5,1,1,1,1,0,0,1,5,
43,1/18/2025 23:35:37,21,1,"Rohini, delhi",Homeowner,Student,,Rarely,"Blinkit, Instamart",Evening,1-250,maybe,"price, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Rarely,1,1,3,0,0,1,0,0,1,1,3,
50,1/19/2025 16:04:14,20,1,South Delhi ,Homeowner,Student,,Monthly,"Zepto, Blinkit",Evening,500-800,maybe,discounts/offers,"snacks & beverages, packaged food items, household essentials",Rarely,1,0,4,1,1,1,0,0,0,1,4,
61,1/18/2025 22:43:35,18,0,Delhi 93,Homeowner,Student,,Weekly,Zepto,Evening,250-500,1,"price, discounts/offers","fresh produce(fruits&veges), dairy products, snacks & beverages",Rarely,1,1,4,1,1,0,1,1,1,1,4,
67,1/20/2025 22:28:45,21,1,new delhi,Homeowner,Student,Both,Rarely,"Blinkit, Instamart",Evening,500-800,maybe,discounts/offers,"snacks & beverages, packaged food items, household essentials, medincine",Rarely,1,0,3,1,1,1,1,0,0,1,3,
77,1/25/2025 15:47:13,20,1,East delhi,Paying Guest,Student,Yourself,Weekly,"Blinkit, BigBasket",Evening,250-500,0,"delivery speed, price, product variety, discounts/offers","snacks & beverages, packaged food items, household essentials, medincine",Never,1,0,4,1,1,0,0,0,0,1,5,
80,1/25/2025 19:04:27,19,1,Gurugram ,Homeowner,Student,Both,Weekly,"Blinkit, Instamart",Evening,500-800,maybe,"price, discounts/offers","dairy products, household essentials",Often,1,0,4,1,1,0,1,0,0,1,3,0t changing the prices based on what phone we use 
89,2/16/2025 19:39:23,28,0,Bangalore,Renting a flat,Employed,Both,Daily,"Blinkit, Instamart",Late Night,250-500,1,"price, product variety, discounts/offers, user interface","fresh produce(fruits&veges), dairy products, snacks & beverages, personal care items, packaged food items, household essentials",Rarely,1,0,4,1,1,1,0,0,0,1,4,
93,2/16/2025 20:00:55,29,0,Mumbai,Renting a flat,Employed,Yourself,Weekly,"Zepto, Instamart, BigBasket",Late Night,250-500,1,product variety,"fresh produce(fruits&veges), dairy products, snacks & beverages, household essentials",Often,1,0,5,1,0,,0,0,0,1,4,
94,2/20/2025 16:59:47,24,0,Delhi,Renting a flat,Employed,Both,Weekly,"Blinkit, Flipkart Minutes",Evening,250-500,maybe,"delivery speed, price","dairy products, snacks & beverages, personal care items",Never,1,1,4,1,1,1,0,0,0,1,4,